--- Terminal on /dev/cu.usbmodem11301 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
boot
 voltage, error, delta_t, cum_error, rate_error, correction, OCR1A
473, -18, 35, -110738, 0, 0, 142
473, -18, 36, -111386, 0, 0, 142
471, -16, 36, -111962, 0, 0, 142
473, -18, 35, -112592, 0, 0, 142
473, -18, 36, -113240, 0, 0, 142
473, -18, 34, -113852, 0, 0, 142
473, -18, 36, -114500, 0, 0, 142
473, -18, 35, -115130, 0, 0, 142
473, -18, 36, -115778, 0, 0, 142
473, -18, 35, -116408, 0, 0, 142
473, -18, 36, -117056, 0, 0, 142
473, -18, 34, -117668, 0, 0, 142
473, -18, 36, -118316, 0, 0, 142
473, -18, 35, -118946, 0, 0, 142
473, -18, 36, -119594, 0, 0, 142
473, -18, 35, -120224, 0, 0, 142
473, -18, 36, -120872, 0, 0, 142
473, -18, 34, -121484, 0, 0, 142
473, -18, 36, -122132, 0, 0, 142
473, -18, 36, -122780, 0, 0, 142
473, -18, 35, -123410, 0, 0, 142
473, -18, 36, -124058, 0, 0, 142
473, -18, 35, -124688, 0, 0, 142
473, -18, 35, -125318, 0, 0, 142
473, -18, 35, -125948, 0, 0, 142
473, -18, 36, -126596, 0, 0, 142
473, -18, 35, -127226, 0, 0, 142
473, -18, 36, -127874, 0, 0, 142
473, -18, 34, -128486, 0, 0, 142
473, -18, 36, -129134, 0, 0, 142
473, -18, 35, -129764, 0, 0, 142
473, -18, 36, -130412, 0, 0, 142
473, -18, 35, -131042, 0, 0, 142
473, -18, 36, -131690, 0, 0, 142
471, -16, 35, -132250, 0, 0, 142
473, -18, 35, -132880, 0, 0, 142
473, -18, 36, -133528, 0, 0, 142
473, -18, 35, -134158, 0, 0, 142
473, -18, 36, -134806, 0, 0, 142
473, -18, 35, -135436, 0, 0, 142
473, -18, 35, -136066, 0, 0, 142
473, -18, 35, -136696, 0, 0, 142
473, -18, 36, -137344, 0, 0, 142
473, -18, 35, -137974, 0, 0, 142
473, -18, 36, -138622, 0, 0, 142
473, -18, 35, -139252, 0, 0, 142
473, -18, 35, -139882, 0, 0, 142
473, -18, 35, -140512, 0, 0, 142
473, -18, 36, -141160, 0, 0, 142
473, -18, 35, -141790, 0, 0, 142
473, -18, 36, -142438, 0, 0, 142
473, -18, 36, -143086, 0, 0, 142
473, -18, 34, -143698, 0, 0, 142
473, -18, 36, -144346, 0, 0, 142
473, -18, 35, -144976, 0, 0, 142
473, -18, 36, -145624, 0, 0, 142
473, -18, 35, -146254, 0, 0, 142
473, -18, 36, -146902, 0, 0, 142
473, -18, 34, -147514, 0, 0, 142
473, -18, 36, -148162, 0, 0, 142
473, -18, 35, -148792, 0, 0, 142
473, -18, 36, -149440, 0, 0, 142
473, -18, 35, -150070, 0, 0, 142
473, -18, 36, -150718, 0, 0, 142
473, -18, 34, -151330, 0, 0, 142
473, -18, 36, -151978, 0, 0, 142
471, -16, 36, -152554, 0, 0, 142
473, -18, 35, -153184, 0, 0, 142
473, -18, 36, -153832, 0, 0, 142
473, -18, 34, -154444, 0, 0, 142
473, -18, 36, -155092, 0, 0, 142
473, -18, 35, -155722, 0, 0, 142
473, -18, 36, -156370, 0, 0, 142
473, -18, 35, -157000, 0, 0, 142
473, -18, 36, -157648, 0, 0, 142
473, -18, 34, -158260, 0, 0, 142
473, -18, 36, -158908, 0, 0, 142
473, -18, 35, -159538, 0, 0, 142
473, -18, 36, -160186, 0, 0, 142
473, -18, 35, -160816, 0, 0, 142
473, -18, 36, -161464, 0, 0, 142
473, -18, 34, -162076, 0, 0, 142
473, -18, 36, -162724, 0, 0, 142
473, -18, 36, -163372, 0, 0, 142
473, -18, 35, -164002, 0, 0, 142
473, -18, 36, -164650, 0, 0, 142
473, -18, 35, -165280, 0, 0, 142
473, -18, 35, -165910, 0, 0, 142
473, -18, 35, -166540, 0, 0, 142
473, -18, 36, -167188, 0, 0, 142
473, -18, 35, -167818, 0, 0, 142
473, -18, 36, -168466, 0, 0, 142
473, -18, 35, -169096, 0, 0, 142
473, -18, 35, -169726, 0, 0, 142
473, -18, 35, -170356, 0, 0, 142
473, -18, 36, -171004, 0, 0, 142
473, -18, 35, -171634, 0, 0, 142
473, -18, 36, -172282, 0, 0, 142
471, -16, 36, -172858, 0, 0, 142
473, -18, 34, -173470, 0, 0, 142
473, -18, 36, -174118, 0, 0, 142
473, -18, 35, -174748, 0, 0, 142
473, -18, 36, -175396, 0, 0, 142
473, -18, 35, -176026, 0, 0, 142
473, -18, 35, -176656, 0, 0, 142
473, -18, 35, -177286, 0, 0, 142
473, -18, 36, -177934, 0, 0, 142
473, -18, 35, -178564, 0, 0, 142
473, -18, 36, -179212, 0, 0, 142
474, -19, 35, -179877, 0, 0, 142
473, -18, 35, -180507, 0, 0, 142
473, -18, 35, -181137, 0, 0, 142
473, -18, 36, -181785, 0, 0, 142
473, -18, 35, -182415, 0, 0, 142
473, -18, 36, -183063, 0, 0, 142
474, -19, 36, -183747, 0, 0, 142
473, -18, 34, -184359, 0, 0, 142
473, -18, 36, -185007, 0, 0, 142
473, -18, 35, -185637, 0, 0, 142
473, -18, 36, -186285, 0, 0, 142
473, -18, 35, -186915, 0, 0, 142
473, -18, 36, -187563, 0, 0, 142
